(3950,1);
(5854,2);
(7759,3);
(9664,4);
(11569,2);
(12521,2);
(13473,3);
(14426,3);
(15378,1);
(16330,1);
(17283,4);
(18235,4);
(19188,2);
(20140,3);
(21092,1);
(22045,4);
(22997,2);
(23473,2);
(23950,3);
(24426,3);
(24902,1);
(25378,1);
(25854,4);
(26330,4);
(26807,1);
(27759,3);
(28711,2);
(29664,4);
(30616,1);
(31092,1);
(31569,3);
(32045,3);
(32521,2);
(32997,2);
(33473,4);
(33950,4);
(34426,2);
(35378,3);
(36330,4);
(37283,1);
(38235,3);
(38711,3);
(39188,1);
(39664,1);
(40140,2);
(40616,2);
(41092,4);
(41569,4);
(42045,1);
(42997,3);
(43950,2);
(44902,4);
(45854,2);
(46330,3);
(46807,2);
(47283,3);
(47759,2);
(48235,3);
(48711,1);
