(3950,1);
(7759,2);
(11569,3);
(15378,4);
(19188,1);
(21092,2);
(22997,3);
(24902,4);
(26807,2);
(28711,3);
(30616,1);
(32521,4);
(34426,1);
(35378,1);
(37283,3);
(38235,3);
(40140,2);
(42045,1);
(43473,2);
(45378,3);
(47283,4);
(48800,5);
(48711,1);
(49664,2);
(50616,2);
(51569,4);
(52521,4);
(53473,3);
(54426,3);
(55378,3);
(56330,3);
(57283,1);
(58235,1);
(59188,4);
(60140,4);
(61092,2);
(62045,2);
(62997,2);
(63950,2);
(64902,4);
(66330,3);
(67759,2);
(68711,1);
(69664,4);
(70616,2);
(71569,3);
(72521,1);
